이름,경기,선발,타수,안타,2루타,3루타,홈런,타점,득점,타율,출루율,장타율,OPS,연도
강백호,5,1,7,2,0,0,0,3,1,0.286,0.375,0.286,0.661,2019
김재환,8,7,25,4,0,0,1,6,4,0.16,0.25,0.28,0.53,2019
김상수,6,1,10,3,1,0,0,2,1,0.3,0.417,0.4,0.817,2019
김하성,8,8,27,7,1,0,1,6,7,0.333,0.438,0.481,0.919,2019
김현수,8,8,23,8,2,0,1,6,5,0.348,0.464,0.565,1.029,2019
민병헌,8,7,23,5,2,0,0,2,2,0.217,0.217,0.304,0.521,2019
박건우,6,0,5,1,0,0,0,0,1,0.2,0.333,0.2,0.533,2019
박민우,6,6,20,3,0,0,0,2,2,0.15,0.346,0.15,0.496,2019
박병호,8,8,28,5,0,0,0,2,3,0.179,0.324,0.179,0.503,2019
박세혁,6,1,3,1,1,0,0,1,1,0.333,0.333,0.667,1.0,2019
양의지,8,7,23,2,1,0,0,1,1,0.087,0.241,0.13,0.371,2019
이정후,8,6,26,10,5,0,0,4,5,0.385,0.484,0.577,1.061,2019
원종현,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2019
